,0,1,frame,clusterNum
9,75,75,29,3
23,96,81,0,4
24,96,82,0,4
25,96,83,0,4
26,96,84,0,4
27,96,85,0,4
28,96,86,0,4
21,96,81,1,4
22,96,84,1,4
23,96,85,1,4
24,96,86,1,4
25,97,82,1,4
26,97,83,1,4
25,96,81,2,4
26,96,82,2,4
27,96,83,2,4
23,96,83,3,4
24,96,84,3,4
25,96,85,3,4
23,96,81,6,4
24,96,82,6,4
25,96,83,6,4
26,96,84,6,4
27,96,85,6,4
30,96,87,11,4
31,96,88,11,4
20,96,81,14,4
25,96,81,16,4
26,96,82,16,4
27,96,83,16,4
20,96,81,17,4
21,96,82,17,4
22,96,83,17,4
23,96,84,17,4
18,96,83,19,4
19,96,84,19,4
20,96,85,19,4
21,96,86,19,4
22,96,87,19,4
23,96,81,23,4
24,96,87,23,4
25,96,88,23,4
26,97,82,23,4
27,97,83,23,4
28,97,84,23,4
29,97,85,23,4
30,97,86,23,4
27,96,81,24,4
28,96,82,24,4
29,96,83,24,4
30,96,84,24,4
31,96,85,24,4
41,96,81,26,4
42,96,82,26,4
43,96,83,26,4
44,96,84,26,4
45,96,85,26,4
46,96,86,26,4
47,96,87,26,4
48,96,88,26,4
49,96,89,26,4
50,96,90,26,4
30,96,86,29,4
31,96,87,29,4
32,97,81,29,4
33,97,82,29,4
34,97,83,29,4
35,97,84,29,4
36,97,85,29,4
23,94,104,2,5
24,94,107,2,5
25,94,107,9,5
26,94,110,9,5
27,95,102,9,5
28,95,103,9,5
29,95,104,9,5
30,95,105,9,5
10,94,104,10,5
11,94,107,10,5
12,94,110,10,5
26,94,104,11,5
27,94,107,11,5
28,95,98,11,5
29,95,99,11,5
24,95,98,13,5
25,95,99,13,5
26,95,100,13,5
27,95,104,13,5
28,95,105,13,5
29,95,107,13,5
30,95,108,13,5
31,95,109,13,5
32,95,110,13,5
33,95,111,13,5
34,96,101,13,5
35,96,102,13,5
36,96,103,13,5
19,94,104,14,5
23,94,104,16,5
24,94,107,16,5
17,94,104,17,5
18,94,107,17,5
19,95,98,17,5
22,94,104,18,5
23,94,107,18,5
17,94,104,19,5
24,94,104,20,5
27,94,104,21,5
28,94,107,21,5
31,94,104,22,5
37,94,104,26,5
38,94,107,26,5
39,95,98,26,5
40,95,105,26,5
26,94,104,27,5
27,94,107,27,5
28,95,105,27,5
28,94,104,28,5
26,94,104,29,5
27,95,98,29,5
28,95,99,29,5
29,95,100,29,5
3,67,81,0,6
4,67,82,0,6
5,67,83,0,6
10,68,80,0,6
11,69,79,0,6
0,67,82,1,6
1,67,83,1,6
6,68,80,1,6
7,68,81,1,6
8,69,79,1,6
0,67,80,2,6
1,67,81,2,6
2,67,82,2,6
3,67,83,2,6
9,68,80,2,6
10,69,78,2,6
11,69,79,2,6
0,67,80,3,6
1,67,81,3,6
2,67,82,3,6
3,67,83,3,6
8,68,78,3,6
9,68,79,3,6
11,69,77,3,6
3,69,79,4,6
4,69,80,4,6
5,69,81,4,6
6,69,82,4,6
4,69,82,8,6
5,69,82,9,6
4,69,82,12,6
4,69,82,18,6
9,69,82,22,6
15,84,113,6,7
16,85,113,6,7
11,84,113,7,7
12,85,113,7,7
13,86,113,7,7
15,87,113,7,7
15,84,113,9,7
16,85,113,9,7
17,86,113,9,7
19,87,113,9,7
21,88,113,9,7
16,84,113,11,7
17,85,113,11,7
18,86,113,11,7
20,87,113,11,7
22,88,113,11,7
16,84,113,12,7
18,85,113,12,7
20,86,113,12,7
22,87,113,12,7
13,84,113,13,7
14,85,113,13,7
15,86,113,13,7
17,87,113,13,7
19,88,113,13,7
13,84,113,16,7
14,85,113,16,7
15,86,113,16,7
17,87,113,16,7
11,84,113,18,7
12,85,113,18,7
13,86,113,18,7
15,87,113,18,7
17,88,113,18,7
11,84,113,20,7
13,85,113,20,7
15,86,113,20,7
17,87,113,20,7
19,88,113,20,7
17,84,113,21,7
18,85,113,21,7
19,86,113,21,7
21,87,113,21,7
23,88,113,21,7
23,84,113,22,7
24,85,113,22,7
25,86,113,22,7
27,87,113,22,7
29,88,113,22,7
16,84,114,24,7
17,85,114,24,7
18,86,113,24,7
20,87,113,24,7
22,88,113,24,7
23,84,114,26,7
25,85,114,26,7
27,86,114,26,7
29,87,114,26,7
31,88,113,26,7
14,84,113,27,7
16,85,113,27,7
18,86,113,27,7
20,87,113,27,7
17,84,113,28,7
18,85,113,28,7
19,86,113,28,7
21,87,113,28,7
23,88,113,28,7
15,84,113,29,7
16,85,113,29,7
17,86,113,29,7
19,87,113,29,7
21,88,113,29,7
